recording,unit_id,unit_index,region_index,window_start_s,window_end_s,window_dur_s,window_source,n_spikes,rate_hz,isi_mean_s,isi_median_s,cv_isi,burst_count,burst_spike_frac,mean_ibi_s,is_active,is_silent,sttc_mean_window,sttc_mean_unit,sttc_degree,n_active_units_window,sttc_dt_s,sttc_degree_thresh,sttc_rate_resid_unit,sttc_rate_resid_window,sttc_degree_delta,sttc_mean_unit_delta,rate_hz_delta,burst_count_delta,tau_rec_burst_s,tau_rec_rate_s,burst_rate_ratio_post0,burst_rate_ratio_post_mid,burst_rate_ratio_post_last,rate_ratio_post0,rate_ratio_post_mid,rate_ratio_post_last,baseline_burst_rate_mean,baseline_rate_mean,injury_label,injury_start_s,injury_end_s,n_baseline_regions,n_post_regions
JMSM_ImpactWithoutBicuculline,s16a,10,0,0.0,419.58000000000004,419.58000000000004,region,152.0,0.36226702893369556,2.7135024834437087,1.828674999999997,1.090713040469312,1.0,0.019736842105263157,,1.0,0.0,0.22767954918927652,0.1052672083874859,16.0,40.0,0.05,0.1,-0.041890372456544256,0.01998766030757798,-10.5,-0.06874396751893497,-0.34677534677534555,-5.5,,,0.6078462968437025,0.4835451440060037,0.35685358438296183,0.7346455049558194,0.5193985953385413,0.514709977919209,0.1789562379840158,1.707446533835423,Impact,10260.0,10860.0,24,42
JMSM_ImpactWithoutBicuculline,s16b,11,0,0.0,419.58000000000004,419.58000000000004,region,247.0,0.5886839220172553,1.697296036585366,0.5074625000000026,1.4970546030915277,11.0,0.15789473684210525,26.191985,1.0,0.0,0.22767954918927652,0.09684800254928193,12.0,40.0,0.05,0.1,-0.05858288289195836,0.01998766030757798,-3.5,-0.036538915956400464,-0.6435006435006435,-16.5,,,0.6078462968437025,0.4835451440060037,0.35685358438296183,0.7346455049558194,0.5193985953385413,0.514709977919209,0.1789562379840158,1.707446533835423,Impact,10260.0,10860.0,24,42
JMSM_ImpactWithoutBicuculline,s16c,12,0,0.0,419.58000000000004,419.58000000000004,region,237.0,0.5648505648505648,1.7573643008474578,0.4088624999999979,1.6722224242438475,20.0,0.3291139240506329,21.27108947368421,1.0,0.0,0.22767954918927652,0.1249745969470236,19.0,40.0,0.05,0.1,-0.029585414326089285,0.01998766030757798,-6.0,-0.04067533171911683,-0.641117307783974,-26.0,,,0.6078462968437025,0.4835451440060037,0.35685358438296183,0.7346455049558194,0.5193985953385413,0.514709977919209,0.1789562379840158,1.707446533835423,Impact,10260.0,10860.0,24,42
JMSM_ImpactWithoutBicuculline,s18a,13,0,0.0,419.58000000000004,419.58000000000004,region,1517.0,3.6155202821869485,0.27588811015831133,0.09700000000000841,1.4535270183221933,176.0,0.5102175346077785,2.2356505714285713,1.0,0.0,0.22767954918927652,0.29845341657904095,36.0,40.0,0.05,0.1,0.0324215117856233,0.01998766030757798,-3.0,-0.09316656692118905,-1.1702178368844987,-106.0,,,0.6078462968437025,0.4835451440060037,0.35685358438296183,0.7346455049558194,0.5193985953385413,0.514709977919209,0.1789562379840158,1.707446533835423,Impact,10260.0,10860.0,24,42
JMSM_ImpactWithoutBicuculline,s18b,14,0,0.0,419.58000000000004,419.58000000000004,region,1772.0,4.223270889937556,0.23629007622811973,0.07510000000002037,1.5205569596910549,219.0,0.577313769751693,1.7706258027522943,1.0,0.0,0.22767954918927652,0.2966009896041828,36.0,40.0,0.05,0.1,0.008361793523516958,0.01998766030757798,-6.5,-0.12661741403638072,-1.6278182944849497,-157.0,,,0.6078462968437025,0.4835451440060037,0.35685358438296183,0.7346455049558194,0.5193985953385413,0.514709977919209,0.1789562379840158,1.707446533835423,Impact,10260.0,10860.0,24,42
JMSM_ImpactWithoutBicuculline,s18c,15,0,0.0,419.58000000000004,419.58000000000004,region,864.0,2.059202059202059,0.47979365585168016,0.20799999999997,1.474623238014758,89.0,0.3912037037037037,4.541578693181816,1.0,0.0,0.22767954918927652,0.26691271022400054,35.0,40.0,0.05,0.1,0.057748888609300886,0.01998766030757798,-6.5,-0.08838920882666929,-0.9878926545593194,-59.0,,,0.6078462968437025,0.4835451440060037,0.35685358438296183,0.7346455049558194,0.5193985953385413,0.514709977919209,0.1789562379840158,1.707446533835423,Impact,10260.0,10860.0,24,42
JMSM_ImpactWithoutBicuculline,s18d,16,0,0.0,419.58000000000004,419.58000000000004,region,444.0,1.0582010582010581,0.9300462753950338,0.5006750000000011,1.2591775631978788,35.0,0.25900900900900903,11.557140441176472,1.0,0.0,0.22767954918927652,0.22534733402482268,31.0,40.0,0.05,0.1,0.05276022747147299,0.01998766030757798,-4.0,-0.07995606732003485,0.1978168644835372,-10.5,,,0.6078462968437025,0.4835451440060037,0.35685358438296183,0.7346455049558194,0.5193985953385413,0.514709977919209,0.1789562379840158,1.707446533835423,Impact,10260.0,10860.0,24,42
JMSM_ImpactWithoutBicuculline,s21a,17,0,0.0,419.58000000000004,419.58000000000004,region,809.0,1.9281185947852613,0.5169949566831683,0.2469999999999999,1.3638432533896732,61.0,0.3065512978986403,6.656576249999999,1.0,0.0,0.22767954918927652,0.21484242684908578,34.0,40.0,0.05,0.1,0.010468413159086698,0.01998766030757798,-5.0,-0.05968871244406743,-0.2121168787835379,-23.0,,,0.6078462968437025,0.4835451440060037,0.35685358438296183,0.7346455049558194,0.5193985953385413,0.514709977919209,0.1789562379840158,1.707446533835423,Impact,10260.0,10860.0,24,42
JMSM_ImpactWithoutBicuculline,s23a,18,0,0.0,419.58000000000004,419.58000000000004,region,1042.0,2.4834358167691497,0.40260230547550435,0.1405749999999557,1.51712733972701,112.0,0.4309021113243762,3.661907432432433,1.0,0.0,0.22767954918927652,0.22778726060639953,33.0,40.0,0.05,0.1,0.0031218787990324737,0.01998766030757798,-4.5,-0.04681138275186672,-0.9247342580675884,-36.5,,,0.6078462968437025,0.4835451440060037,0.35685358438296183,0.7346455049558194,0.5193985953385413,0.514709977919209,0.1789562379840158,1.707446533835423,Impact,10260.0,10860.0,24,42
JMSM_ImpactWithoutBicuculline,s23b,19,0,0.0,419.58000000000004,419.58000000000004,region,135.0,0.3217503217503217,2.991799253731344,1.3242125000000016,1.4091550190632771,6.0,0.15555555555555556,48.84369,1.0,0.0,0.22767954918927652,0.1614779589617445,24.0,40.0,0.05,0.1,0.015800864203530884,0.01998766030757798,-9.0,-0.03103703017801579,-0.2657419324085988,-3.0,,,0.6078462968437025,0.4835451440060037,0.35685358438296183,0.7346455049558194,0.5193985953385413,0.514709977919209,0.1789562379840158,1.707446533835423,Impact,10260.0,10860.0,24,42
JMSM_ImpactWithoutBicuculline,s25a,20,0,0.0,419.58000000000004,419.58000000000004,region,332.0,0.7912674579341246,1.2209609516616315,0.23169999999998936,1.6861548569762297,39.0,0.4066265060240964,10.590790789473681,1.0,0.0,0.22767954918927652,0.25761323275865766,30.0,40.0,0.05,0.1,0.09477991688833465,0.01998766030757798,-1.0,-0.05937804194213728,-0.4409171075837728,-28.5,,,0.6078462968437025,0.4835451440060037,0.35685358438296183,0.7346455049558194,0.5193985953385413,0.514709977919209,0.1789562379840158,1.707446533835423,Impact,10260.0,10860.0,24,42
JMSM_ImpactWithoutBicuculline,s27a,21,0,0.0,419.58000000000004,419.58000000000004,region,602.0,1.434768101434768,0.6960886855241264,0.4551500000000033,1.1611447631443972,23.0,0.132890365448505,15.446371590909092,1.0,0.0,0.22767954918927652,0.072780553547528,8.0,40.0,0.05,0.1,-0.1135663648622343,0.01998766030757798,9.0,0.03824684127555504,-0.947375947375947,-9.0,,,0.6078462968437025,0.4835451440060037,0.35685358438296183,0.7346455049558194,0.5193985953385413,0.514709977919209,0.1789562379840158,1.707446533835423,Impact,10260.0,10860.0,24,42
JMSM_ImpactWithoutBicuculline,s27b,22,0,0.0,419.58000000000004,419.58000000000004,region,899.0,2.1426188092854757,0.46666971046770606,0.08276249999997276,2.2838975715315537,109.0,0.5639599555061179,3.4374532407407403,1.0,0.0,0.22767954918927652,0.12743020373938468,23.0,40.0,0.05,0.1,-0.08478167746376081,0.01998766030757798,0.0,0.02315075230268246,-1.3894847228180554,-82.5,,,0.6078462968437025,0.4835451440060037,0.35685358438296183,0.7346455049558194,0.5193985953385413,0.514709977919209,0.1789562379840158,1.707446533835423,Impact,10260.0,10860.0,24,42
JMSM_ImpactWithoutBicuculline,s29a,23,0,0.0,419.58000000000004,419.58000000000004,region,819.0,1.9519519519519517,0.5125014058679707,0.25225000000000364,1.2912434525809053,62.0,0.2673992673992674,6.607875409836067,1.0,0.0,0.22767954918927652,0.19077843100299516,34.0,40.0,0.05,0.1,-0.014466456855131288,0.01998766030757798,-6.0,-0.056108277119367084,-1.3322846656179954,-55.5,,,0.6078462968437025,0.4835451440060037,0.35685358438296183,0.7346455049558194,0.5193985953385413,0.514709977919209,0.1789562379840158,1.707446533835423,Impact,10260.0,10860.0,24,42
JMSM_ImpactWithoutBicuculline,s33a,24,0,0.0,419.58000000000004,419.58000000000004,region,456.0,1.0868010868010867,0.9189577472527471,0.31747500000000173,1.7223402665693213,54.0,0.4057017543859649,7.837579716981133,1.0,0.0,0.22767954918927652,0.341885277167986,29.0,40.0,0.05,0.1,0.16825312161288347,0.01998766030757798,-28.0,-0.3295436883030202,-1.0307926974593644,-41.0,,,0.6078462968437025,0.4835451440060037,0.35685358438296183,0.7346455049558194,0.5193985953385413,0.514709977919209,0.1789562379840158,1.707446533835423,Impact,10260.0,10860.0,24,42
JMSM_ImpactWithoutBicuculline,s34a,25,0,0.0,419.58000000000004,419.58000000000004,region,457.0,1.0891844225177558,0.9169424890350877,0.3109875000000102,1.724446662451723,54.0,0.40700218818380746,7.838114150943397,1.0,0.0,0.22767954918927652,0.34242026006199405,29.0,40.0,0.05,0.1,0.1687010170900788,0.01998766030757798,-21.0,-0.26742312132708457,-0.4135087468420775,-39.0,,,0.6078462968437025,0.4835451440060037,0.35685358438296183,0.7346455049558194,0.5193985953385413,0.514709977919209,0.1789562379840158,1.707446533835423,Impact,10260.0,10860.0,24,42
JMSM_ImpactWithoutBicuculline,s35a,26,0,0.0,419.58000000000004,419.58000000000004,region,458.0,1.0915677582344248,0.9149360503282276,0.3044749999999965,1.7269087334611253,54.0,0.4039301310043668,7.838199528301889,1.0,0.0,0.22767954918927652,0.34172878405841733,29.0,40.0,0.05,0.1,0.16792245366968933,0.01998766030757798,-16.5,-0.2537388927817427,-0.7876924543591199,-44.5,,,0.6078462968437025,0.4835451440060037,0.35685358438296183,0.7346455049558194,0.5193985953385413,0.514709977919209,0.1789562379840158,1.707446533835423,Impact,10260.0,10860.0,24,42
JMSM_ImpactWithoutBicuculline,s36a,27,0,0.0,419.58000000000004,419.58000000000004,region,456.0,1.0868010868010867,0.9189576923076924,0.3175000000000239,1.7218714962517139,54.0,0.40131578947368424,7.838199528301889,1.0,0.0,0.22767954918927652,0.34109895282934594,29.0,40.0,0.05,0.1,0.1674667972742434,0.01998766030757798,-12.0,-0.23159366643712706,-0.7567090900424223,-44.0,,,0.6078462968437025,0.4835451440060037,0.35685358438296183,0.7346455049558194,0.5193985953385413,0.514709977919209,0.1789562379840158,1.707446533835423,Impact,10260.0,10860.0,24,42
JMSM_ImpactWithoutBicuculline,s37a,28,0,0.0,419.58000000000004,419.58000000000004,region,466.0,1.110634443967777,0.8991951612903226,0.27479999999999905,1.746870256486503,56.0,0.4184549356223176,7.551699545454545,1.0,0.0,0.22767954918927652,0.3429183768010268,29.0,40.0,0.05,0.1,0.16841534707779693,0.01998766030757798,-7.5,-0.19212505873515412,-0.9318842652175985,-46.0,,,0.6078462968437025,0.4835451440060037,0.35685358438296183,0.7346455049558194,0.5193985953385413,0.514709977919209,0.1789562379840158,1.707446533835423,Impact,10260.0,10860.0,24,42
JMSM_ImpactWithoutBicuculline,s38a,29,0,0.0,419.58000000000004,419.58000000000004,region,466.0,1.110634443967777,0.8991951612903225,0.27479999999999905,1.746375366179023,58.0,0.4270386266094421,7.285479385964914,1.0,0.0,0.22767954918927652,0.342794936468494,29.0,40.0,0.05,0.1,0.16829190674526412,0.01998766030757798,-3.0,-0.143245994595161,-0.4754754754754744,-24.0,,,0.6078462968437025,0.4835451440060037,0.35685358438296183,0.7346455049558194,0.5193985953385413,0.514709977919209,0.1789562379840158,1.707446533835423,Impact,10260.0,10860.0,24,42
JMSM_ImpactWithoutBicuculline,s39a,30,0,0.0,419.58000000000004,419.58000000000004,region,470.0,1.1201677868344533,0.8915261194029852,0.22499999999999432,1.7567546844894912,61.0,0.44468085106382976,6.920624583333335,1.0,0.0,0.22767954918927652,0.3426055236512603,29.0,40.0,0.05,0.1,0.16775414426077945,0.01998766030757798,-16.5,-0.2637283533465621,-0.9771676438343102,-48.0,,,0.6078462968437025,0.4835451440060037,0.35685358438296183,0.7346455049558194,0.5193985953385413,0.514709977919209,0.1789562379840158,1.707446533835423,Impact,10260.0,10860.0,24,42
JMSM_ImpactWithoutBicuculline,s39b,31,0,0.0,419.58000000000004,419.58000000000004,region,0.0,0.0,,,,0.0,,,0.0,1.0,0.22767954918927652,,0.0,40.0,0.05,0.1,,0.01998766030757798,27.0,,0.7173840507173873,24.5,,,0.6078462968437025,0.4835451440060037,0.35685358438296183,0.7346455049558194,0.5193985953385413,0.514709977919209,0.1789562379840158,1.707446533835423,Impact,10260.0,10860.0,24,42
JMSM_ImpactWithoutBicuculline,s40a,32,0,0.0,419.58000000000004,419.58000000000004,region,464.0,1.105867772534439,0.903079373650108,0.2751749999999902,1.741884426543503,57.0,0.4202586206896552,7.4169267857142875,1.0,0.0,0.22767954918927652,0.34252013635420997,29.0,40.0,0.05,0.1,0.16819128146460555,0.01998766030757798,6.0,-0.08837668167776463,0.588683922017259,41.0,,,0.6078462968437025,0.4835451440060037,0.35685358438296183,0.7346455049558194,0.5193985953385413,0.514709977919209,0.1789562379840158,1.707446533835423,Impact,10260.0,10860.0,24,42
JMSM_ImpactWithoutBicuculline,s54a,33,0,0.0,419.58000000000004,419.58000000000004,region,311.0,0.7412174078840745,1.3483772580645161,0.7174750000000358,1.2447658739568805,8.0,0.10610932475884244,25.842942857142866,1.0,0.0,0.22767954918927652,0.16504694477861814,29.0,40.0,0.05,0.1,0.004042464661362627,0.01998766030757798,5.0,0.10212086430201531,2.2760856094189514,154.0,,,0.6078462968437025,0.4835451440060037,0.35685358438296183,0.7346455049558194,0.5193985953385413,0.514709977919209,0.1789562379840158,1.707446533835423,Impact,10260.0,10860.0,24,42
JMSM_ImpactWithoutBicuculline,s54b,34,0,0.0,419.58000000000004,419.58000000000004,region,2405.0,5.731922398589065,0.17408872712146423,0.052462499999995416,1.5466001722699083,322.0,0.6968814968814969,1.1583608255451707,1.0,0.0,0.22767954918927652,0.33707343873268536,36.0,40.0,0.05,0.1,-0.006292092190443688,0.01998766030757798,-11.5,-0.18605766567379625,-4.733304733304732,-284.0,,,0.6078462968437025,0.4835451440060037,0.35685358438296183,0.7346455049558194,0.5193985953385413,0.514709977919209,0.1789562379840158,1.707446533835423,Impact,10260.0,10860.0,24,42
JMSM_ImpactWithoutBicuculline,s54c,35,0,0.0,419.58000000000004,419.58000000000004,region,2365.0,5.636588969922303,0.1768875,0.047937499999989086,1.6403867248663486,292.0,0.6875264270613107,1.2981986254295543,1.0,0.0,0.22767954918927652,0.356628557552138,39.0,40.0,0.05,0.1,0.016746523301518434,0.01998766030757798,-9.5,-0.1572237755138607,-4.4913961580628206,-259.0,,,0.6078462968437025,0.4835451440060037,0.35685358438296183,0.7346455049558194,0.5193985953385413,0.514709977919209,0.1789562379840158,1.707446533835423,Impact,10260.0,10860.0,24,42
JMSM_ImpactWithoutBicuculline,s54d,36,0,0.0,419.58000000000004,419.58000000000004,region,75.0,0.17875017875017873,5.418084797297297,0.36603750000000446,2.069378727664348,9.0,0.41333333333333333,50.073693750000004,1.0,0.0,0.22767954918927652,0.16425807970675668,26.0,40.0,0.05,0.1,0.023806229957307357,0.01998766030757798,-23.0,-0.045588533778670184,-0.1322751322751323,-3.0,,,0.6078462968437025,0.4835451440060037,0.35685358438296183,0.7346455049558194,0.5193985953385413,0.514709977919209,0.1789562379840158,1.707446533835423,Impact,10260.0,10860.0,24,42
JMSM_ImpactWithoutBicuculline,s55a,37,0,0.0,419.58000000000004,419.58000000000004,region,179.0,0.4266170932837599,2.3184554775280897,1.4821249999999964,1.4041360879334837,1.0,0.01675977653631285,,1.0,0.0,0.22767954918927652,0.19004757223746185,34.0,40.0,0.05,0.1,0.040538631139487774,0.01998766030757798,6.0,0.06238013340704712,0.3134086467419819,9.0,,,0.6078462968437025,0.4835451440060037,0.35685358438296183,0.7346455049558194,0.5193985953385413,0.514709977919209,0.1789562379840158,1.707446533835423,Impact,10260.0,10860.0,24,42
JMSM_ImpactWithoutBicuculline,s55b,38,0,0.0,419.58000000000004,419.58000000000004,region,215.0,0.5124171790838457,1.8985814252336448,0.6436249999999752,1.4214204004830915,20.0,0.34418604651162793,18.07609473684211,1.0,0.0,0.22767954918927652,0.16772541575339014,24.0,40.0,0.05,0.1,0.015081327650157489,0.01998766030757798,5.0,0.039296462669463766,0.014300014300017483,1.0,,,0.6078462968437025,0.4835451440060037,0.35685358438296183,0.7346455049558194,0.5193985953385413,0.514709977919209,0.1789562379840158,1.707446533835423,Impact,10260.0,10860.0,24,42
JMSM_ImpactWithoutBicuculline,s55c,39,0,0.0,419.58000000000004,419.58000000000004,region,538.0,1.2822346155679487,0.7638251396648044,0.45164999999997235,1.2394045028535743,25.0,0.1654275092936803,13.273923958333333,1.0,0.0,0.22767954918927652,0.20522737040926003,35.0,40.0,0.05,0.1,0.024454046675512986,0.01998766030757798,-8.0,-0.012903398996085336,-0.7674341007674321,-10.5,,,0.6078462968437025,0.4835451440060037,0.35685358438296183,0.7346455049558194,0.5193985953385413,0.514709977919209,0.1789562379840158,1.707446533835423,Impact,10260.0,10860.0,24,42
